SURABAYA,,JOMBANG,,KEDIRI,,BLITAR,,PACITAN,,GRESIK,,TULUNGAGUNG,,SIDOARJO,,LAMONGAN,,PONOROGO,,MALANG,,NGANJUK,,TRENGGALEK,,MOJOKERTO
60226,,Gadingmangu,,Campurejo,,Pojok ,,Menadi,,Betoyoguci,,,,"Mlati 1, East Java",,Drajat,,,,"Kebalon, East Java",,Sendangbumen,,,,Gempolkrep
60227,,Galengdowo,,Dandangan,,"Ponggok, Jawa Timur, Indonesia",,Mendolo Kidul,,Betoyokauman,,,,"Mojokemuning, East Java",,Drujugurit,,,,Kebonsari ,,Sidoharjo,,,,Gumeng
60228,,Gambiran,,Dermo,,Rembang,,Mendolo Lor,,"Bibis-kulon, East Java",,,,"Mojorangagung, East Java",,Duduk Lor,,,,"Kebuban, East Java",,Sidorejo  ,,,,Gunung Gedangan
60229,,Gebang Bunder,,Duwet,,"Sanankulon, East Java",,Mentoro,,"Bibis-wetan, East Java",,,,"Ngaglik, Jawa Timur, Indonesia",,"Dukuh, East Java",,,,"Kedawung, Jawa Timur, Indonesia",,Singkalanyar,,,,Gunungan
60231,,Gedangan,,"Gadungan, Wates",,"Selopuro, Jawa Timur, Indonesia",,Mlati,,Boboh,,,,"Ngaresrejo, East Java",,Dukuhagung,,,,Kedung Pedaringan,,Siwalan,,,,Gunungsari
60232,,Gedangan ,,"Gampeng, East Java",,"Semen, Jawa Timur, Indonesia",,"Pachitan, Jawa Timur, Indonesia",,Bolo,,,,"Pagerwojo-lor, East Java",,Dukuhtunggal,,,,"Kemantren Dua, East Java",,Sudimoroharjo,,,,"Jabon, Jawa Timur, Indonesia"
60233,,Gempol Legundi,,"Gampengrejo, Jawa Timur, Indonesia",,Sentul,,"Punung, Jawa Timur, Indonesia",,"Boro-kulon, East Java",,,,"Penambangan, East Java",,Dumpiagung,,,,"Kemantren Satu, East Java",,Sugihwaras,,,,Jabontegal
60234,,Genengan Jasem,,Gayam,,"Serang, Jawa Timur, Indonesia",,"Tegalombo, Jawa Timur, Indonesia",,Boteng,,,,"Plaosan, Jawa Timur, Indonesia",,Duri Kulon,,,,Kemiri,,"Sugihwaras, Bagor",,,,"Jagalan,Mojokerto,Jawa Timur"
60235,,"Genukwatu, Ngoro",,"Gurah, Jawa Timur, Indonesia",,"Sirahkentjong, East Java",,"Tulakan, Jawa Timur, Indonesia",,Brangkal,,,,Plumbon,,Durikedungjero,,,,"Kepanjen, Jawa Timur, Indonesia",,"Sugihwaras, Prambon",,,,Jambuwok
60236,,Glagahan,,Jagalan,,"Srengat, Jawa Timur, Indonesia",,,,Bringkang,,,,"Plumbungan, East Java",,Duriwetan,,,,"Kepuharjo, Jawa Timur, Indonesia",,Sukoharjo ,,,,Jampirogo
60237,,Godong,,Jajar ,,Sumberejo,,Nanggungan,,"Bringkang, East Java",,,,"Plumpung, East Java",,Gambuhan,,,,"Ketawang, East Java",,"Sukomoro, East Java",,,,Japan
60238,,Gondang Manis,,"Janti, Wates",,"Suruhwadang, Jawa Timur, Indonesia",,"Nawangan, Jawa Tengah, Indonesia",,Bulangan,,,,"Pohjejer, East Java",,Gampang Sejati,,,,"Ketawanggede, Jawa Timur, Indonesia",,Sukorejo    ,,,,Jasem
60239,,Gondek,,"Joho, Wates",,"Taloen, Jawa Timur, Indonesia",,"Ngadirojo, Jawa Timur, Indonesia",,Bulangkulon,,,,"Popoh, East Java",,Ganggantingan,,,,"Kidal 1, East Java",,Sumberagung   ,,,,Jatidukuh
60242,,Gongseng,,"Jugo, Jawa Timur, Indonesia",,Tanggung,,"Pringkuku, Jawa Timur, Indonesia",,Bululanjang,,,,"Pucang, Jawa Timur, Indonesia",,Garung,,,,"Kidal, Jawa Timur, Indonesia",,Sumberjo  ,,,,Jatijejer
60243,,Grobogan,,Kaliombo,,Tlumpu,,,,Bulurejo,,,,"Punggul, Jawa Timur, Indonesia",,Gawerejo,,,,Klampok ,,Sumbersono,,,,Jatilangkung
60244,,Grogol,,Kampung Dalem,,Turi,,,,"Bulurejo, East Java",,,,Rangkahkidul,,Gebangangkrik,,,,"Klampok 1, East Java",,Sumberwindu,,,,Jatipasar
60245,,"Gudo, Swiss",,"Kandat, Jawa Timur, Indonesia",,"Udanawu, Jawa Timur, Indonesia",,,,Bunderan,,,,"Rangkah-kidul, East Java",,Gedongboyo Untung,,,,"Ledok 2, East Java",,Sumengko,,,,"Jatirejo, Jawa Timur, Indonesia"
60246,,Gumulan,,Karanganyar ,,"Wlingi, Jawa Timur, Indonesia",,,,Bungah,,,,"Rangkah-lor, East Java",,Geger,,,,"Ledokomo, East Java",,Surui,,,,Jatirowo
60251,,Jabon,,"Kawarasan, East Java",,"Wonodadi, Jawa Timur, Indonesia",,,,Cagakagung,,,,"Sambiroto 1, East Java",,Gelap,,,,Losari,,"Talang, Rejoso",,,,Jembul
60252,,"Janti, Jogoroto",,"Kedak, Jawa Timur, Indonesia",,,,,,Campurejo,,,,"Sarirogo, East Java",,Gembong,,,,Madyopuro ,,Talun,,,,Jerukseger
60253,,"Janti, Mojoagung",,Kediri,,,,,,Cangaan,,,,"Sawocangkring, East Java",,Gempol Tukmloko,,,,"Magersari, East Java",,"Tamanan, Jawa Timur, Indonesia",,,,Jiyu
60254,,Jantiganggong,,Kemasan,,,,,,Cangkir,,,,"Sawohan, East Java",,Gempolmanis,,,,"Magoean, Jawa Timur, Indonesia",,Tanjung,,,,Jolotundo
60255,,Japanan,,"Kepung, Jawa Timur, Indonesia",,,,,,Cerme,,,,"Sedati, Jawa Timur, Indonesia",,Gempolpading,,,,"Manggis, East Java",,Tanjungrejo,,,,Jotangan
60256,,Japanan ,,"Kunjang, Jawa Timur, Indonesia",,,,,,Cerme Kidul,,,,"Sedatigede, Jawa Timur, Indonesia",,Gempolpendowo,,,,"Manggissari, East Java",,Tanjungtani,,,,"Jotangan, Jawa Timur, Indonesia"
60261,,Japanan Kaler,,Lirboyo,,,,,,Cerme Lor,,,,"Sekelor Utara, East Java",,Gendong Kulon,,,,"Mangunrejo, Jawa Timur, Indonesia",,Tegaron,,,,Jrambe
60262,,Jarak,,"Maesan, Jawa Timur, Indonesia",,,,,,"Cerme, Jawa Timur, Indonesia",,,,"Seketi, East Java",,German,,,,"Mergosono, Jawa Timur, Indonesia",,Tekenglagahan,,,,Jumeneng
60263,,Jarak Kulon,,"Minggiran, Jawa Timur, Indonesia",,,,,,"Cerme-kidul, East Java",,,,"Semambung, Jawa Timur, Indonesia",,Gintungan,,,,"Merjosari, Jawa Timur, Indonesia",,Tembarak,,,,Kaligoro
60264,,Jati Duwur,,"Mojokerep, Jawa Timur, Indonesia",,,,,,"Cerme-lor, East Java",,,,Semampir Barat,,Girik,,,,"Merjoyo, East Java",,Tempelwetan,,,,Kalikatir
60265,,Jati Wates,,"Mojoroto, Kediri",,,,,,Cermen,,,,"Semampir Timur, Jawa Timur, Indonesia",,Glagah,,,,"Mojorejo, Jawa Timur, Indonesia",,Tempuran,,,,Kalipuro
60271,,Jatibanjar,,Mrican,,,,,,Dadapkuning,,,,Sentul  ,,"Glagah, Jawa Timur, Indonesia",,,,Mojosari ,,Tiripan,,,,Karangasem
